variable	classification_P	type	datatype	dependent	direction	psytype	parent	study	uniqueVarID	classification_P_20150828_1345	rater
afraid to say no	self-efficacy	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_afraidtosayno	self-efficacy	P
curiosity	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_curiosity	attitude	P
everyone smokes	descriptive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_everyonesmokes	descriptive norm	P
feel lonely	attitude	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_feellonely	attitude	P
for fun	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_forfun	attitude	P
forget problems	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_forgetproblems	attitude	P
gum disease	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_gumdisease	risk perception	P
heart disease	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_heartdisease	risk perception	P
knowledge of health risks	risk perception	aggregate	numeric	initiation	inconsistent	determinant	NA	ahmed2004.r	ahmed2004.r_knowledgeofhealthrisks	risk perception	P
life is boring	attitude	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_lifeisboring	attitude	P
lung cancer	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_lungcancer	risk perception	P
mouth cancer	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_mouthcancer	risk perception	P
relax	attitude	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_relax	attitude	P
short-term health risk	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_shorttermhealthrisk	risk perception	P
smoking	behavior	question	logical	initiation	consistent	behavior	NA	ahmed2004.r	ahmed2004.r_smoking	behavior	P
stress	stress	question	logical	initiation	consistent	determinant		ahmed2004.r	ahmed2004.r_stress	stress	P
stress at home (reason)	stress	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_stressathomereason	stress	P
stress at home (stress)	stress	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_stressathomestress	stress	P
stress at school work	stress	question	logical	initiation	consistent	belief		ahmed2004.r	ahmed2004.r_stressatschoolwork	stress	P
stroke	risk perception	question	logical	initiation	inconsistent	belief	NA	ahmed2004.r	ahmed2004.r_stroke	risk perception	P
to be cool	injunctive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_tobecool	injunctive norm	P
to please a friend	injunctive norm	question	logical	initiation	consistent	belief	NA	ahmed2004.r	ahmed2004.r_topleaseafriend	injunctive norm	P
Cessation	behavior	question	logical	cessation	consistent	behavior	NA	Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_cessation	behavior	P
Descriptive norm (home)	descriptive norm	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_descriptivenormhome	descriptive norm	P
Descriptive norm (workplace)	descriptive norm	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_descriptivenormworkplace	descriptive norm	P
Smoking is harmful	risk perception	question	logical	cessation	consistent	belief		Ayo-Yusuf2010.r	Ayo-Yusuf2010.r_smokingisharmful	risk perception	P
Smoker approximates ideal conformity	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealconformity	attitude	P
Smoker approximates ideal drinking behavior	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealdrinkingbehavior	attitude	P
Smoker approximates ideal goodness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealgoodness	attitude	P
Smoker approximates ideal healthiness	attitude	question	numeric	initiation	consistent	belief		Barton1982.r	Barton1982.r_smokerapproximatesidealhealthiness	attitude	P
