"study"	"variable1"	"variable2"	"df1"	"r"	"covariates"	"comment"	"v"	"v.from.raw.chisq"	"subsample"	"var1values"	"var1moment"	"var2values"	"var2moment"	"chisq"	"n"	"OR"	"df2"	"p"	"t"	"F"	"counter"	"d"	"etasq"	"insignificanceOnly"	"size"	"var1_dependent"	"var1_direction"	"var1_values"	"var1_uniqueVarID"	"var1_psytype"	"var2_dependent"	"var2_direction"	"var2_values"	"var2_uniqueVarID"	"var2_psytype"	"pred_psytype"	"dep_psytype"	"dependent"	"p.computed.from.chisq"	"v.computed.from.chisq"	"r.computed.from.or"	"d.computed.from.or"	"r.computed.from.t"	"p.computed.from.t"	"d.computed.from.t"	"p.computed.from.f"	"etasq.computed.from.f"	"omegasq.computed.from.f"	"d.computed.from.f"	"r_fam_sign"	"r.computed.from.v"	"r.computed.from.v.from.raw.chisq"	"r.computed.from.v.computed.from.chisq"	"r.computed.from.etasq"	"r.computed.from.etasq.computed.from.f"	"n.extracted"	"r.averaged.from.computations"	"r_fam_es"	"var1_classification"	"var2_classification"
"ahmed2004.r"	"knowledge of health risks"	"smoking"	237	-0.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"inconsistent"	NA	"ahmed2004.r_knowledgeofhealthrisks"	"determinant"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"determinant"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	-0.38	"risk perception"	"behavior"
"ahmed2004.r"	"stress at home (stress)"	"smoking"	NA	NA	0	"12 of 68 'yes' students smoke versus 13 of 170 'no' students. Page 203, right column, last paragraph, and Table 1."	0.147339472605929	0.147339472605929	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"consistent"	NA	"ahmed2004.r_stressathomestress"	"belief"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.147339472605929	0.147339472605929	NA	NA	NA	NA	0.147339472605929	0.147339472605929	"stress"	"behavior"
"ahmed2004.r"	"stress at school work"	"smoking"	NA	NA	0	"11 of 85 'yes' students smoke versus 14 of 153 'no' students. Page 203, right column, last paragraph, and Table 1."	0.0592423032601366	0.0592423032601366	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"consistent"	NA	"ahmed2004.r_stressatschoolwork"	"belief"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0592423032601366	0.0592423032601366	NA	NA	NA	NA	0.0592423032601365	0.0592423032601365	"stress"	"behavior"
"ahmed2004.r"	"feel lonely"	"smoking"	NA	NA	0	"8 of 62 'yes' students smoke versus 17 of 176 'no' students. Page 203, right column, last paragraph, and Table 1."	0.046439900152054	0.046439900152054	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"consistent"	NA	"ahmed2004.r_feellonely"	"belief"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.046439900152054	0.046439900152054	NA	NA	NA	NA	0.046439900152054	0.046439900152054	"attitude"	"behavior"
"ahmed2004.r"	"life is boring"	"smoking"	NA	NA	0	"10 of 62 'yes' students smoke versus 15 of 176 'no' students. Page 203, right column, last paragraph, and Table 1."	0.108884511655946	0.108884511655946	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"consistent"	NA	"ahmed2004.r_lifeisboring"	"belief"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"belief"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.108884511655946	0.108884511655946	NA	NA	NA	NA	0.108884511655946	0.108884511655946	"attitude"	"behavior"
"ahmed2004.r"	"stress"	"smoking"	NA	NA	0	"11 of 77 >50% students smoke versus 14 of 161 <50% students. Page 203, right column, last paragraph, and Table 1."	0.0852933413125529	0.0852933413125529	NA	NA	NA	NA	NA	NA	238	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	"initiation"	"consistent"	NA	"ahmed2004.r_stress"	"determinant"	"initiation"	"consistent"	NA	"ahmed2004.r_smoking"	"behavior"	"determinant"	"behavior"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0852933413125529	0.0852933413125529	NA	NA	NA	NA	0.0852933413125529	0.0852933413125529	"stress"	"behavior"
"Ayo-Yusuf2010.r"	"Cessation"	"Descriptive norm (workplace)"	NA	NA	NA	NA	0.00703573353326381	NA	NA	NA	NA	NA	NA	NA	2467	NA	NA	NA	NA	NA	NA	NA	NA	NA	2467	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_cessation"	"behavior"	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_descriptivenormworkplace"	"belief"	"belief"	"behavior"	"cessation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.00703573353326381	NA	NA	NA	NA	NA	0.00703573353326381	0.00703573353326381	"behavior"	"descriptive norm"
"Ayo-Yusuf2010.r"	"Cessation"	"Descriptive norm (home)"	NA	NA	NA	NA	0.0767405586575366	NA	NA	NA	NA	NA	NA	NA	2467	NA	NA	NA	NA	NA	NA	NA	NA	NA	2467	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_cessation"	"behavior"	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_descriptivenormhome"	"belief"	"belief"	"behavior"	"cessation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0767405586575366	NA	NA	NA	NA	NA	0.0767405586575366	0.0767405586575366	"behavior"	"descriptive norm"
"Ayo-Yusuf2010.r"	"Cessation"	"Smoking is harmful"	NA	NA	NA	NA	0.0852763282688742	NA	NA	NA	NA	NA	NA	NA	2467	NA	NA	NA	NA	NA	NA	NA	NA	NA	2467	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_cessation"	"behavior"	"cessation"	"consistent"	NA	"Ayo-Yusuf2010.r_smokingisharmful"	"belief"	"belief"	"behavior"	"cessation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0852763282688742	NA	NA	NA	NA	NA	0.0852763282688742	0.0852763282688742	"behavior"	"risk perception"
"Barton1982.r"	"Smoker approximates ideal healthiness"	"Smoking initiation intention"	147.148	0.21	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealhealthiness"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.21	"attitude"	"intention"
"Barton1982.r"	"Smoker approximates ideal wisdom"	"Smoking initiation intention"	147.148	0	NA	NA	NA	NA	"6th grade boys"	NA	NA	NA	NA	NA	148.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	148.148	"initiation"	"consistent"	NA	"Barton1982.r_smokerapproximatesidealwisdom"	"belief"	"initiation"	"consistent"	NA	"Barton1982.r_smokinginitiationintention"	"proxy"	"belief"	"proxy"	"initiation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	"attitude"	"intention"
