"uniqueVarID"	"study"	"variable"	"moment"	"type"	"datatype"	"dependent"	"direction"	"psytype"	"parent"	"description"	"comment"	"values"	"labels"	"classification_P"	"classification"
"ahmed2004.r_afraidtosayno"	"ahmed2004.r"	"afraid to say no"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"self-efficacy"	"self-efficacy"
"ahmed2004.r_curiosity"	"ahmed2004.r"	"curiosity"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"Curious to test what it was like"	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_everyonesmokes"	"ahmed2004.r"	"everyone smokes"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"descriptive norm"	"descriptive norm"
"ahmed2004.r_feellonely"	"ahmed2004.r"	"feel lonely"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	NA	"Page 203, left column, halfway first paragraph."	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_forfun"	"ahmed2004.r"	"for fun"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_forgetproblems"	"ahmed2004.r"	"forget problems"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	"NA"	"NA"	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_gumdisease"	"ahmed2004.r"	"gum disease"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_heartdisease"	"ahmed2004.r"	"heart disease"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_knowledgeofhealthrisks"	"ahmed2004.r"	"knowledge of health risks"	"1"	"aggregate"	"numeric"	"initiation"	"inconsistent"	"determinant"	"NA"	"Knowledge was operationalised as the sum of 'yes' answers to whether smoking causes lung cancer, heart disease, stroke, oral cancer and gum disease"	NA	NA	NA	"risk perception"	"risk perception"
"ahmed2004.r_lifeisboring"	"ahmed2004.r"	"life is boring"	"0"	"question"	"logical"	"initiation"	"consistent"	"belief"	NA	"Page 203, left column, halfway first paragraph."	NA	NA	NA	"attitude"	"attitude"
"ahmed2004.r_lungcancer"	"ahmed2004.r"	"lung cancer"	"0"	"question"	"logical"	"initiation"	"inconsistent"	"belief"	"NA"	"NA"	NA	NA	NA	"risk perception"	"risk perception"
